position,champion,key,games_played,kda,win_rate,pick_rate,ban_rate,cs,gold
jungle,Kayn,kayn,259506,2.29,50.1448906769015,7.96,8.19,186.13,12866
jungle,Wukong,monkeyking,77988,2.65,50.146176334820744,2.39,0.72,177.94,12348
jungle,Evelynn,evelynn,88807,2.79,50.35413875032374,2.72,2.81,167.01,12606
jungle,Ekko,ekko,141322,2.64,50.38847454748729,4.33,3.69,190.57,13283
jungle,Diana,diana,283460,2.36,50.396528610738734,8.69,11.9,203.31,13044
jungle,Zac,zac,83511,3.27,50.46999796434003,2.56,1.36,169.06,11741
jungle,Shaco,shaco,163922,2.74,50.478886299581504,5.03,22.86,173.86,12772
jungle,Gwen,gwen,72225,2.32,50.485289027345104,2.21,7.28,201.42,13364
jungle,Udyr,udyr,107627,2.49,50.487331245876966,3.3,2.0,194.94,12541
jungle,Nocturne,nocturne,161644,2.55,50.52213506223553,4.96,6.65,189.65,12941
jungle,Zyra,zyra,19676,2.75,50.57938605407604,0.6,6.34,209.64,12749
jungle,Morgana,morgana,15240,2.85,50.61679790026247,0.47,23.26,185.12,12172
jungle,Jarvan IV,jarvaniv,143751,3.26,50.63616948751661,4.41,1.45,177.34,12409
jungle,Ivern,ivern,48055,3.53,50.696077411299555,1.47,0.68,154.76,11162
jungle,Sett,sett,7461,2.09,50.95831657954698,0.23,4.36,179.99,12375
jungle,Nunu & Willump,nunu,138220,2.69,51.161915786427436,4.24,2.29,165.97,11682
jungle,Lillia,lillia,128623,2.82,51.16347776058714,3.94,3.57,192.42,12753
jungle,Warwick,warwick,247195,2.24,51.17498331276927,7.58,10.51,167.52,12616
